1938,Male,,Married (w/kids),,No,,No,No,No,Yes,Public,No,Yes,No,,No,No,Yes,,Try first,No,No,,Yes,,Yes,Yes,Idealist,No,No,,,Yes,Happy,Yes,Yes,No,No,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,Yes,No,,Yes,Yes,Talk,Technology,No,No,Yes,,No,Demanding,No,,No,Cautious,No,Yes!,No,Space,No,In-person,,Yes,No,Yes,Yay people!,Yes,No,Yes,Yes,,No,Yes,No,No,No,Yes,No,Own,Optimist,,Yes,Yes,No,No,Nope,Yes,No,No,,No,,Only-child,No,No,Yes
1970,Female,"over $150,000",Domestic Partners (w/kids),Bachelor's Degree,,Yes,No,No,No,Yes,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,Yes,Yes,No,No,Receiving,No,No,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,No,A.M.,No,End,Yes,No,Me,Yes,Yes,No,Yes,No,Mysterious,No,No,,,,,,,,,,Mac,Yes,Cautious,No,Umm...,No,Space,Yes,In-person,No,Yes,Yes,No,Yay people!,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,No,No,No,Only-child,Yes,No,No
1997,Male,"$75,000 - $100,000",Single (no kids),High School Diploma,,Yes,Yes,No,,Yes,Private,No,No,No,Yes,No,No,Yes,Science,Study first,,Yes,No,Yes,Receiving,No,Yes,Pragmatist,No,Yes,Cool headed,Odd hours,No,Right,Yes,No,No,Yes,A.M.,Yes,Start,Yes,Yes,Circumstances,No,Yes,No,Yes,Yes,Mysterious,No,No,Tunes,Technology,Yes,Yes,Yes,Yes,No,Supportive,No,PC,No,Cautious,No,Umm...,No,Space,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Own,Pessimist,Mom,No,No,No,No,Nope,Yes,No,No,No,Yes,No,Yes,No,Yes,No
1983,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,No,Yes,No,Yes,No,No,Public,No,Yes,No,Yes,No,No,Yes,Science,Try first,No,Yes,Yes,No,Giving,Yes,No,Idealist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,No,No,A.M.,Yes,Start,Yes,No,Circumstances,Yes,No,No,Yes,No,TMI,No,No,Talk,People,No,Yes,Yes,Yes,Yes,Supportive,No,Mac,Yes,Risk-friendly,No,Umm...,No,Socialize,Yes,Online,No,Yes,No,Yes,Grrr people,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Own,Optimist,Mom,No,No,No,Yes,Check!,No,No,No,Yes,Yes,No,Yes,No,No,Yes
1984,Female,"$50,000 - $74,999",Married (w/kids),High School Diploma,No,Yes,No,No,No,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Try first,Yes,No,No,No,Giving,No,No,Idealist,Yes,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,No,Yes,P.M.,No,End,No,No,Me,No,Yes,Yes,Yes,Yes,TMI,Yes,No,Tunes,People,No,No,Yes,No,No,Demanding,Yes,PC,Yes,Cautious,No,Yes!,No,Socialize,No,Online,No,No,Yes,Yes,Yay people!,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,No,No,Yes,No,No,Yes
1997,Female,"over $150,000",Single (no kids),Current K-12,,,,,No,Yes,Public,No,No,No,Yes,No,Yes,Yes,Science,Try first,Yes,Yes,No,Yes,Receiving,No,No,Pragmatist,No,No,,Standard hours,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Supportive,No,PC,,,,,,,,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,
1983,Male,"$25,001 - $50,000",Married (no kids),Current Undergraduate,,,,,,,,,,,,,,,,,,,No,,,No,No,Pragmatist,No,Yes,Cool headed,Odd hours,No,Happy,No,Yes,No,Yes,P.M.,Yes,End,Yes,No,Me,Yes,Yes,No,Yes,,,,,,,,,,,,Supportive,No,PC,Yes,Cautious,Yes,Umm...,No,,No,Online,Yes,,Yes,No,Grrr people,Yes,No,Yes,,Yes,No,No,Yes,Yes,No,No,,Own,Pessimist,,,Yes,Yes,Yes,,Yes,,,,No,No,Yes,No,Yes,Yes
1996,Male,"$75,000 - $100,000",Single (no kids),Current K-12,Yes,Yes,No,No,No,Yes,Private,Yes,No,No,No,No,Yes,Yes,Science,Try first,No,Yes,No,No,Receiving,Yes,No,Idealist,No,Yes,Cool headed,Standard hours,No,Right,No,No,No,No,P.M.,Yes,Start,Yes,Yes,Circumstances,No,No,Yes,No,No,Mysterious,No,No,Tunes,People,Yes,No,Yes,Yes,Yes,Demanding,No,PC,No,Cautious,No,Yes!,No,Socialize,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Own,Pessimist,Mom,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes
NA,Male,,Single (no kids),Current K-12,No,,Yes,No,,Yes,Public,Yes,No,No,Yes,No,Yes,,Science,Study first,No,No,,No,Receiving,,Yes,,No,Yes,Cool headed,,No,Happy,Yes,No,No,No,P.M.,Yes,Start,Yes,No,Me,Yes,Yes,Yes,,,,,,Tunes,Technology,,,Yes,No,Yes,Demanding,No,PC,No,,No,,No,Space,No,,,,Yes,Yes,Grrr people,,No,Yes,No,No,Yes,No,Yes,No,,Yes,No,,Optimist,Dad,No,No,Yes,No,Nope,Yes,No,No,Yes,Yes,No,Yes,,,Yes
1981,Female,"$50,000 - $74,999",Married (w/kids),,No,No,No,No,Yes,No,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Try first,Yes,No,No,Yes,Giving,No,Yes,Idealist,Yes,Yes,Cool headed,Standard hours,Yes,Happy,No,Yes,Yes,Yes,P.M.,Yes,Start,Yes,Yes,Me,Yes,No,No,No,No,TMI,No,Yes,Tunes,Technology,Yes,No,Yes,Yes,No,Demanding,Yes,PC,Yes,Cautious,No,Yes!,No,Socialize,No,Online,Yes,Yes,Yes,Yes,Yay people!,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
